# Measured spectrum of Vega from The Astronomical Journal, 127:3508-3515, 2004 June by R. C. Bohlin and R. L. Gilliland
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
9.004519999999999982e+02,1.238105299999999938e-17
9.013540000000000418e+02,1.675595599999999919e-17
9.022580000000000382e+02,1.780023700000000067e-17
9.031630000000000109e+02,1.823535399999999863e-17
9.040679999999999836e+02,1.865464800000000055e-17
9.049740000000000464e+02,1.916887700000000019e-17
9.058819999999999482e+02,1.969101599999999935e-17
9.067899999999999636e+02,2.018942399999999889e-17
9.076989999999999554e+02,2.070365399999999958e-17
9.086090000000000373e+02,2.122579399999999979e-17
9.095199999999999818e+02,2.175584399999999953e-17
9.104310000000000400e+02,2.230963000000000106e-17
9.113440000000000509e+02,2.290297000000000132e-17
9.122580000000000382e+02,2.370991500000000085e-17
9.131720000000000255e+02,2.594087700000000082e-17
9.140879999999999654e+02,4.712711699999999880e-17
9.150040000000000191e+02,3.635995000000000227e-16
9.159210000000000491e+02,2.352004499999999937e-15
9.168400000000000318e+02,6.846366599999999880e-15
9.177590000000000146e+02,1.151873200000000054e-14
9.186789999999999736e+02,1.536358199999999911e-14
9.196000000000000227e+02,1.939039199999999877e-14
9.205220000000000482e+02,2.222260599999999995e-14
9.214450000000000500e+02,2.622568200000000023e-14
9.223680000000000518e+02,2.901042999999999915e-14
9.232930000000000064e+02,3.128094700000000015e-14
9.242190000000000509e+02,4.598790000000000087e-14
9.251449999999999818e+02,4.666826600000000125e-14
9.260729999999999791e+02,3.617008200000000302e-14
9.270009999999999764e+02,5.052102600000000037e-14
9.279299999999999500e+02,7.502997499999999504e-14
9.288600000000000136e+02,7.775934600000000552e-14
9.297920000000000300e+02,5.643070399999999858e-14
9.307240000000000464e+02,3.994373000000000190e-14
9.316570000000000391e+02,6.025181999999999620e-14
9.325910000000000082e+02,9.390614000000000148e-14
9.335259999999999536e+02,1.151081999999999972e-13
9.344619999999999891e+02,1.215162800000000096e-13
9.353980000000000246e+02,1.131303899999999991e-13
9.363360000000000127e+02,8.686515000000000221e-14
9.372749999999999773e+02,5.350355400000000307e-14
9.382140000000000555e+02,5.322666299999999886e-14
9.391549999999999727e+02,9.208655600000000350e-14
9.400960000000000036e+02,1.285572700000000088e-13
9.410389999999999873e+02,1.490473200000000090e-13
9.419819999999999709e+02,1.615470299999999953e-13
9.429270000000000209e+02,1.684297899999999951e-13
9.438719999999999573e+02,1.706449400000000122e-13
9.448179999999999836e+02,1.617843800000000124e-13
9.457649999999999864e+02,1.554553999999999961e-13
9.467140000000000555e+02,1.587781100000000055e-13
9.476630000000000109e+02,1.437467999999999889e-13
9.486130000000000564e+02,1.003933299999999956e-13
9.495639999999999645e+02,6.283879000000000360e-14
9.505159999999999627e+02,8.789361399999999770e-14
9.514679999999999609e+02,1.477024099999999995e-13
9.524220000000000255e+02,1.870211500000000023e-13
9.533769999999999527e+02,2.080649800000000112e-13
9.543329999999999700e+02,2.310866299999999911e-13
9.552899999999999636e+02,2.547411599999999760e-13
9.562469999999999573e+02,2.756267700000000215e-13
9.572060000000000173e+02,2.914491999999999775e-13
9.581660000000000537e+02,2.964332600000000240e-13
9.591259999999999764e+02,2.983319699999999882e-13
9.600879999999999654e+02,2.972243999999999851e-13
9.610499999999999545e+02,3.033951399999999911e-13
9.620140000000000100e+02,3.109899199999999848e-13
9.629779999999999518e+02,3.087747600000000074e-13
9.639429999999999836e+02,2.931896799999999927e-13
9.649099999999999682e+02,2.924776600000000242e-13
9.658769999999999527e+02,3.193757999999999971e-13
9.668450000000000273e+02,3.381254000000000145e-13
9.678150000000000546e+02,3.368595799999999903e-13
9.687849999999999682e+02,3.207207199999999921e-13
9.697559999999999718e+02,2.848037800000000093e-13
9.707279999999999518e+02,2.191406900000000027e-13
9.717010000000000218e+02,1.294275000000000056e-13
9.726749999999999545e+02,9.058342499999999931e-14
9.736509999999999536e+02,1.568002999999999948e-13
