# Measured spectrum of the Sun from NREL using MODTRAN
# See https://www.nrel.gov/grid/solar-resource/spectra.html, bibref MCebKur
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
2.000000000000000000e+03,5.669999999999999485e-01
2.000039999999999964e+03,5.669999999999999485e-01
2.000080000000000155e+03,5.669999999999999485e-01
2.000119999999999891e+03,5.669999999999999485e-01
2.000159999999999854e+03,4.559999999999999609e-01
2.000200000000000045e+03,3.980000000000000204e-01
2.000240000000000009e+03,3.160000000000000031e-01
2.000279999999999973e+03,2.769999999999999685e-01
2.000320000000000164e+03,2.969999999999999862e-01
2.000360000000000127e+03,2.810000000000000275e-01
2.000399999999999864e+03,2.749999999999999667e-01
2.000440000000000055e+03,3.290000000000000147e-01
2.000480000000000018e+03,3.889999999999999569e-01
2.000519999999999982e+03,3.899999999999999578e-01
2.000560000000000173e+03,3.770000000000000018e-01
2.000599999999999909e+03,3.360000000000000209e-01
2.000639999999999873e+03,3.300000000000000155e-01
2.000680000000000064e+03,3.250000000000000111e-01
2.000720000000000027e+03,3.989999999999999658e-01
2.000759999999999991e+03,5.010000000000000009e-01
2.000800000000000182e+03,5.789999999999999591e-01
2.000840000000000146e+03,5.890000000000000790e-01
2.000879999999999882e+03,6.109999999999999876e-01
2.000920000000000073e+03,5.490000000000000435e-01
2.000960000000000036e+03,4.610000000000000209e-01
2.001000999999999976e+03,4.400000000000000022e-01
2.001040999999999940e+03,4.270000000000000462e-01
2.001081000000000131e+03,3.920000000000000151e-01
2.001121000000000095e+03,4.470000000000000084e-01
2.001160999999999831e+03,4.839999999999999858e-01
2.001201000000000022e+03,4.559999999999999609e-01
2.001240999999999985e+03,4.299999999999999933e-01
2.001280999999999949e+03,4.219999999999999862e-01
2.001321000000000140e+03,3.780000000000000027e-01
2.001360999999999876e+03,3.429999999999999716e-01
2.001400999999999840e+03,3.489999999999999769e-01
2.001441000000000031e+03,4.089999999999999747e-01
2.001480999999999995e+03,5.120000000000000107e-01
2.001520999999999958e+03,6.019999999999999796e-01
2.001561000000000149e+03,7.359999999999999876e-01
2.001601000000000113e+03,7.810000000000000275e-01
2.001640999999999849e+03,8.120000000000000551e-01
2.001681000000000040e+03,8.139999999999999458e-01
2.001721000000000004e+03,8.529999999999999805e-01
2.001761999999999944e+03,8.760000000000000009e-01
2.001802000000000135e+03,9.119999999999999218e-01
2.001842000000000098e+03,9.140000000000000346e-01
2.001882000000000062e+03,8.829999999999998961e-01
2.001922000000000025e+03,7.880000000000000338e-01
2.001961999999999989e+03,7.080000000000000737e-01
2.002001999999999953e+03,7.109999999999999654e-01
2.002041999999999916e+03,6.930000000000000604e-01
2.002082000000000107e+03,7.329999999999999849e-01
2.002121999999999844e+03,8.349999999999999645e-01
2.002161999999999807e+03,9.320000000000000506e-01
2.002201999999999998e+03,9.429999999999999494e-01
2.002242999999999938e+03,8.750000000000001110e-01
2.002282999999999902e+03,7.680000000000000160e-01
2.002323000000000093e+03,6.669999999999999263e-01
2.002363000000000056e+03,5.780000000000000693e-01
2.002402999999999793e+03,4.649999999999999689e-01
2.002443000000000211e+03,5.450000000000000400e-01
2.002482999999999947e+03,6.270000000000000018e-01
2.002522999999999911e+03,6.290000000000000036e-01
2.002563000000000102e+03,6.459999999999999076e-01
2.002603000000000065e+03,7.049999999999999600e-01
2.002643000000000029e+03,7.100000000000000755e-01
2.002684000000000196e+03,7.040000000000000702e-01
2.002724000000000160e+03,7.279999999999999805e-01
2.002763999999999896e+03,7.449999999999999956e-01
2.002803999999999860e+03,8.149999999999999467e-01
2.002844000000000051e+03,8.410000000000000808e-01
2.002884000000000015e+03,7.920000000000000373e-01
2.002923999999999978e+03,7.179999999999999716e-01
2.002963999999999942e+03,6.199999999999999956e-01
2.003005000000000109e+03,5.200000000000000178e-01
2.003044999999999845e+03,4.290000000000000480e-01
2.003085000000000036e+03,4.559999999999999609e-01
2.003125000000000000e+03,5.390000000000000346e-01
2.003164999999999964e+03,6.139999999999999902e-01
2.003205000000000155e+03,5.959999999999999742e-01
2.003244999999999891e+03,5.130000000000000115e-01
2.003284999999999854e+03,3.889999999999999569e-01
2.003326000000000022e+03,3.220000000000000084e-01
2.003365999999999985e+03,3.280000000000000138e-01
2.003405999999999949e+03,3.840000000000000080e-01
2.003446000000000140e+03,4.629999999999999671e-01
2.003486000000000104e+03,5.290000000000000258e-01
2.003525999999999840e+03,5.200000000000000178e-01
2.003565999999999804e+03,4.210000000000000409e-01
2.003605999999999995e+03,3.579999999999999849e-01
2.003646999999999935e+03,3.689999999999999947e-01
2.003686999999999898e+03,4.309999999999999387e-01
2.003727000000000089e+03,4.849999999999999867e-01
2.003767000000000053e+03,4.859999999999999876e-01
2.003806999999999789e+03,4.299999999999999933e-01
2.003847000000000207e+03,4.129999999999999782e-01
2.003887999999999920e+03,3.980000000000000204e-01
2.003927999999999884e+03,4.020000000000000240e-01
2.003968000000000075e+03,4.629999999999999671e-01
2.004008000000000038e+03,5.590000000000000524e-01
2.004048000000000002e+03,5.799999999999999600e-01
2.004088000000000193e+03,5.360000000000000320e-01
2.004129000000000133e+03,5.410000000000000364e-01
2.004168999999999869e+03,5.660000000000000586e-01
2.004208999999999833e+03,6.280000000000000027e-01
2.004249000000000024e+03,7.049999999999999600e-01
2.004288999999999987e+03,7.950000000000000400e-01
2.004328999999999951e+03,8.179999999999999494e-01
2.004370000000000118e+03,7.720000000000000195e-01
2.004410000000000082e+03,6.099999999999999867e-01
2.004449999999999818e+03,4.390000000000000013e-01
2.004490000000000236e+03,3.130000000000000004e-01
2.004529999999999973e+03,2.350000000000000144e-01
2.004569999999999936e+03,1.980000000000000093e-01
2.004610999999999876e+03,2.320000000000000118e-01
2.004651000000000067e+03,2.530000000000000027e-01
2.004691000000000031e+03,2.550000000000000044e-01
2.004730999999999767e+03,2.860000000000000320e-01
2.004771000000000186e+03,3.760000000000000009e-01
2.004811999999999898e+03,4.380000000000000004e-01
2.004851999999999862e+03,4.969999999999999418e-01
2.004892000000000053e+03,5.479999999999999316e-01
2.004932000000000016e+03,5.290000000000000258e-01
2.004971999999999980e+03,5.499999999999999334e-01
2.005012999999999920e+03,6.360000000000000098e-01
2.005053000000000111e+03,7.369999999999999885e-01
2.005092999999999847e+03,8.240000000000000657e-01
2.005132999999999811e+03,9.159999999999999254e-01
2.005173000000000002e+03,9.329999999999999405e-01
2.005213999999999942e+03,8.739999999999999991e-01
2.005253999999999905e+03,7.860000000000000320e-01
2.005294000000000096e+03,7.590000000000000080e-01
2.005334000000000060e+03,7.439999999999999947e-01
2.005373999999999796e+03,6.760000000000000453e-01
2.005415000000000191e+03,6.440000000000000169e-01
2.005454999999999927e+03,6.660000000000000364e-01
2.005494999999999891e+03,6.039999999999999813e-01
2.005535000000000082e+03,5.539999999999999369e-01
2.005576000000000022e+03,6.059999999999999831e-01
2.005615999999999985e+03,6.770000000000000462e-01
2.005655999999999949e+03,7.299999999999999822e-01
2.005696000000000140e+03,8.269999999999999574e-01
2.005735999999999876e+03,9.119999999999999218e-01
2.005777000000000044e+03,9.020000000000000240e-01
2.005817000000000007e+03,8.040000000000000480e-01
2.005856999999999971e+03,6.799999999999999378e-01
2.005896999999999935e+03,6.039999999999999813e-01
2.005937999999999874e+03,5.530000000000000471e-01
2.005978000000000065e+03,5.859999999999999654e-01
2.006018000000000029e+03,6.989999999999999547e-01
2.006057999999999993e+03,8.380000000000000782e-01
2.006099000000000160e+03,9.090000000000000302e-01
2.006139000000000124e+03,9.079999999999999183e-01
2.006178999999999860e+03,8.420000000000000817e-01
2.006219000000000051e+03,8.149999999999999467e-01
2.006259999999999991e+03,7.860000000000000320e-01
2.006299999999999955e+03,7.270000000000000906e-01
2.006339999999999918e+03,6.790000000000000480e-01
2.006380000000000109e+03,6.859999999999999432e-01
2.006421000000000049e+03,6.099999999999999867e-01
2.006460999999999785e+03,4.620000000000000218e-01
2.006501000000000204e+03,3.459999999999999742e-01
2.006540999999999940e+03,2.789999999999999702e-01
2.006581999999999880e+03,1.880000000000000004e-01
2.006622000000000071e+03,1.180000000000000077e-01
2.006662000000000035e+03,1.030000000000000082e-01
2.006701999999999998e+03,1.110000000000000153e-01
2.006742999999999938e+03,9.619999999999999385e-02
2.006783000000000129e+03,9.950000000000000511e-02
2.006822999999999865e+03,1.399999999999999856e-01
2.006862999999999829e+03,1.549999999999999989e-01
2.006903999999999996e+03,1.829999999999999960e-01
2.006943999999999960e+03,2.109999999999999931e-01
2.006983999999999924e+03,1.960000000000000075e-01
2.007024999999999864e+03,1.549999999999999989e-01
2.007065000000000055e+03,2.000000000000000111e-01
2.007105000000000018e+03,2.830000000000000293e-01
2.007144999999999982e+03,3.950000000000000178e-01
2.007186000000000149e+03,5.260000000000000231e-01
2.007226000000000113e+03,6.300000000000000044e-01
2.007265999999999849e+03,6.109999999999999876e-01
2.007307000000000244e+03,5.519999999999999352e-01
2.007346999999999980e+03,4.959999999999999964e-01
2.007386999999999944e+03,4.660000000000000253e-01
2.007427000000000135e+03,5.000000000000000000e-01
2.007468000000000075e+03,5.440000000000000391e-01
2.007508000000000038e+03,5.390000000000000346e-01
2.007547999999999774e+03,4.870000000000000440e-01
2.007589000000000169e+03,4.089999999999999747e-01
2.007628999999999905e+03,3.619999999999999885e-01
2.007668999999999869e+03,4.139999999999999791e-01
2.007709999999999809e+03,4.400000000000000022e-01
2.007750000000000000e+03,4.400000000000000022e-01
2.007789999999999964e+03,4.839999999999999858e-01
2.007830999999999904e+03,4.490000000000000102e-01
2.007871000000000095e+03,4.159999999999999809e-01
2.007911000000000058e+03,4.969999999999999418e-01
2.007951000000000022e+03,6.029999999999999805e-01
2.007992000000000189e+03,5.709999999999999520e-01
2.008032000000000153e+03,5.550000000000000488e-01
2.008071999999999889e+03,5.640000000000000568e-01
2.008112999999999829e+03,5.309999999999999165e-01
2.008153000000000020e+03,5.329999999999999183e-01
2.008192999999999984e+03,6.169999999999999929e-01
2.008233999999999924e+03,6.019999999999999796e-01
2.008274000000000115e+03,5.030000000000000027e-01
2.008314000000000078e+03,4.270000000000000462e-01
2.008355000000000018e+03,3.489999999999999769e-01
2.008394999999999982e+03,3.170000000000000040e-01
2.008434999999999945e+03,4.159999999999999809e-01
2.008476000000000113e+03,5.669999999999999485e-01
2.008515999999999849e+03,6.490000000000000213e-01
2.008556000000000040e+03,6.510000000000000231e-01
2.008596999999999980e+03,5.720000000000000639e-01
2.008636999999999944e+03,5.190000000000000169e-01
2.008677000000000135e+03,4.969999999999999418e-01
2.008718000000000075e+03,5.030000000000000027e-01
2.008758000000000038e+03,5.789999999999999591e-01
2.008798999999999978e+03,7.000000000000000666e-01
2.008839000000000169e+03,7.600000000000000089e-01
2.008878999999999905e+03,7.550000000000000044e-01
2.008920000000000073e+03,7.239999999999999769e-01
2.008959999999999809e+03,6.660000000000000364e-01
